subject,domain,word,SIDNO
389,ANIMALS,Hippopotamus,26
389,ANIMALS,Eagle,26
389,ANIMALS,Swan,26
389,ANIMALS,Alligator,26
389,ANIMALS,Crocodile,26
389,ANIMALS,Crow,26
389,ANIMALS,Hawk,26
389,ANIMALS,Deer,26
389,ANIMALS,Bear,26
389,ANIMALS,Black Bear,26
389,ANIMALS,Grizzly Bear,26
389,ANIMALS,Chipmunk,26
389,ANIMALS,Groundhog,26
389,ANIMALS,Squirrel,26
389,ANIMALS,Black Squirrel,26
389,ANIMALS,Mole,26
389,ANIMALS,Raccoon,26
389,ANIMALS,Rabbit,26
389,ANIMALS,Hare,26
389,ANIMALS,Pig,26
389,ANIMALS,Boar,26
389,ANIMALS,Cow,26
389,ANIMALS,Horse,26
389,ANIMALS,Chicken,26
390,ANIMALS,Dog,27
390,ANIMALS,Cat,27
390,ANIMALS,Parrot,27
390,ANIMALS,Mouse,27
390,ANIMALS,Hamster,27
390,ANIMALS,Alligator,27
390,ANIMALS,Anteater,27
390,ANIMALS,Owl,27
390,ANIMALS,Snake,27
390,ANIMALS,Frog,27
390,ANIMALS,Jaguar,27
390,ANIMALS,Leopard,27
390,ANIMALS,Tiger,27
390,ANIMALS,Cheetah,27
390,ANIMALS,Panther,27
390,ANIMALS,Zebra,27
390,ANIMALS,Giraffe,27
390,ANIMALS,Gazelle,27
390,ANIMALS,Lion,27
390,ANIMALS,Polar Bear,27
390,ANIMALS,Penguin,27
390,ANIMALS,Tortoise,27
390,ANIMALS,Turtle,27
390,ANIMALS,Horse,27
390,ANIMALS,Sheep,27
390,ANIMALS,Pig,27
390,ANIMALS,Duck,27
390,ANIMALS,Chicken,27
390,ANIMALS,Cow,27
390,ANIMALS,Llama,27
390,ANIMALS,Bison,27
390,ANIMALS,Gerbil,27
390,ANIMALS,Sloth,27
390,ANIMALS,Elephant,27
390,ANIMALS,Wolf,27
390,ANIMALS,Moose,27
390,ANIMALS,Reindeer,27
390,ANIMALS,Gorilla,27
390,ANIMALS,Chimpanzee,27
390,ANIMALS,Kangaroo,27
390,ANIMALS,Koala Bear,27
390,ANIMALS,Grizzly Bear,27
390,ANIMALS,Panda Bear,27
390,ANIMALS,Lemur,27
390,ANIMALS,Racoon,27
390,ANIMALS,Opossum,27
390,ANIMALS,Chinchilla,27
391,ANIMALS,Dog,28
391,ANIMALS,Cat,28
391,ANIMALS,Bird,28
391,ANIMALS,Lion,28
391,ANIMALS,Tiger,28
391,ANIMALS,Monkey,28
391,ANIMALS,Ape,28
391,ANIMALS,Wolf,28
391,ANIMALS,Deer,28
391,ANIMALS,Squirrel,28
391,ANIMALS,Chipmunk,28
391,ANIMALS,Bear,28
391,ANIMALS,Zebra,28
391,ANIMALS,Giraffe,28
391,ANIMALS,Alligator,28
391,ANIMALS,Crocodile,28
391,ANIMALS,Cheetah,28
391,ANIMALS,Jaguar,28
391,ANIMALS,Cougar,28
391,ANIMALS,Cayote,28
391,ANIMALS,Snake,28
391,ANIMALS,Lizard,28
391,ANIMALS,Hippopotamus,28
391,ANIMALS,Rhinoceros,28
392,ANIMALS,Deer,29
392,ANIMALS,Snake,29
392,ANIMALS,Snake,29
392,ANIMALS,Giraffe,29
392,ANIMALS,Turkey,29
392,ANIMALS,Dog,29
392,ANIMALS,Dog,29
392,ANIMALS,Cat,29
392,ANIMALS,Owl,29
392,ANIMALS,Sheep,29
392,ANIMALS,Pig,29
392,ANIMALS,Horse,29
392,ANIMALS,Rat,29
392,ANIMALS,Mouse,29
392,ANIMALS,Lion,29
392,ANIMALS,Tiger,29
392,ANIMALS,Bear,29
392,ANIMALS,Alligator,29
392,ANIMALS,Crocodile,29
392,ANIMALS,Hippopotamus,29
392,ANIMALS,Wolf,29
392,ANIMALS,Fox,29
392,ANIMALS,Cow,29
392,ANIMALS,Pigeon,29
392,ANIMALS,Beetle,29
392,ANIMALS,Whale,29
392,ANIMALS,Shark,29
392,ANIMALS,Squid,29
392,ANIMALS,Octopus,29
392,ANIMALS,Blue Gill,29
392,ANIMALS,Monkey,29
392,ANIMALS,Leopard,29
392,ANIMALS,Zebra,29
392,ANIMALS,Hamster,29
392,ANIMALS,Gerbil,29
392,ANIMALS,Fly,29
392,ANIMALS,Ant,29
392,ANIMALS,Bee,29
392,ANIMALS,Bee,29
392,ANIMALS,Hornet,29
392,ANIMALS,Bronco,29
395,ANIMALS,Dog,30
395,ANIMALS,Cat,30
395,ANIMALS,Mouse,30
395,ANIMALS,Rat,30
395,ANIMALS,Hamster,30
395,ANIMALS,Rabbit,30
395,ANIMALS,Gerbil,30
395,ANIMALS,Alligator,30
395,ANIMALS,Giraffe,30
395,ANIMALS,Rhinoceros,30
395,ANIMALS,Elephant,30
395,ANIMALS,Woolly Mammoth,30
395,ANIMALS,Zebra,30
395,ANIMALS,Lion,30
395,ANIMALS,Tiger,30
395,ANIMALS,Black Bird,30
395,ANIMALS,Hawk,30
395,ANIMALS,Pigeon,30
395,ANIMALS,Cardinal,30
395,ANIMALS,Cub,30
395,ANIMALS,Kangaroo,30
395,ANIMALS,Flamingo,30
395,ANIMALS,Pheasant,30
395,ANIMALS,Pig,30
395,ANIMALS,Sheep,30
395,ANIMALS,Cow,30
395,ANIMALS,Horse,30
395,ANIMALS,Bull,30
395,ANIMALS,Duck,30
395,ANIMALS,Geese,30
395,ANIMALS,Hippopotamus,30
395,ANIMALS,Tiger,30
395,ANIMALS,Cheetah,30
395,ANIMALS,Red Bird,30
395,ANIMALS,Parrot,30
395,ANIMALS,Parakeet,30
395,ANIMALS,Monkey,30
395,ANIMALS,Monkey,30
395,ANIMALS,Guerilla,30
395,ANIMALS,Butterfly,30
395,ANIMALS,Ant,30
395,ANIMALS,Spider,30
395,ANIMALS,Bumble Bee,30
395,ANIMALS,Wasp,30
395,ANIMALS,Daddy Long Leg,30
395,ANIMALS,Tarantula,30
395,ANIMALS,Lizard,30
395,ANIMALS,Gecko,30
395,ANIMALS,Snake,30
395,ANIMALS,Garden Snake,30
395,ANIMALS,Garden Snake,30
395,ANIMALS,Leopard,30
396,ANIMALS,Elephant,31
396,ANIMALS,Jaguar,31
396,ANIMALS,Panther,31
396,ANIMALS,Cat,31
396,ANIMALS,Dog,31
396,ANIMALS,Giraffe,31
396,ANIMALS,Lion,31
