Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648359d0eb76bf5308558934,613ddda173d03b082a870a24,APPROVED,2023-06-09T16:56:51.791000Z,2023-06-09T20:00:11.339000Z,2023-06-09T20:00:11.607000Z,,11000.0,Manual Completion,310,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64835a18215a708baacab01e,63038b44665191847f1320cc,APPROVED,2023-06-09T16:58:04.566000Z,2023-06-10T14:18:53.424000Z,2023-06-10T14:18:54.093000Z,,76849.0,Manual Completion,156,20,Female,White,Slovakia,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64835a6d03e6342427a1496d,55d2729c5bc5bc0005d90625,RETURNED,2023-06-09T16:59:40.432000Z,,,,,,380,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64835ac8947e2ab6234d3ab5,5ca6bdb41161970001caf215,TIMED-OUT,2023-06-09T17:01:00.475000Z,,,,12279433.0,,707,38,Female,Mixed,United Kingdom,United Kingdom,Mexico,English,No,Full-Time
64835baea388b8dd2e4ad78d,57e131b80cb6700001dd7e5c,APPROVED,2023-06-09T17:04:54.416000Z,2023-06-09T17:51:57.674000Z,2023-06-09T20:02:02.059000Z,2023-06-09T17:52:08.950000Z,2824.0,CK95X1BS,2032,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64835c7550a7a4da7c4ad785,5fa670417aaa09285126c6b9,TIMED-OUT,2023-06-09T17:08:14.820000Z,,,,12278999.0,,484,26,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64835cacf6e05166189b2816,608320df789eb7dae25cc7fe,TIMED-OUT,2023-06-09T17:09:02.804000Z,,,,12278951.0,,190,24,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64835db5851bc78b385e6460,60c63a72a4540677ef3b1c02,RETURNED,2023-06-09T17:24:00.079000Z,,,,,,65,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6483684380e235728fa06a5a,5827634ea80bf4000199994b,REJECTED,2023-06-09T17:58:32.414000Z,2023-06-09T18:40:53.470000Z,2023-06-10T14:17:40.209000Z,2023-06-09T18:41:15.448000Z,2542.0,CK95X1BS,1241,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648368caf947374a0fd38451,605af714e8c740c2141316f4,TIMED-OUT,2023-06-09T18:01:01.330000Z,,,,12275833.0,,144,51,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
648368d1bb00dd1b5eb3795c,6147ce30cede5dc8781d9555,APPROVED,2023-06-09T18:00:52.587000Z,2023-06-09T18:34:32.202000Z,2023-06-09T20:02:55.569000Z,2023-06-09T18:34:34.306000Z,2020.0,CK95X1BS,162,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648376c0c8fa3840c4663331,60662064c4e2b814215e6890,TIMED-OUT,2023-06-09T19:00:28.068000Z,,,,12272266.0,,578,45,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
653e8309c034dbb89a5b89af,653d232f63f99a4e8bfac6c6,TIMED-OUT,2023-10-29T16:08:07.603000Z,,,,13807.0,,0,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
653e838994f3708c2a263e33,60f1b47ea7032dd3ca1e203d,REJECTED,2023-10-29T16:09:28.982000Z,2023-10-29T17:04:07.242000Z,2023-10-29T19:44:10.791000Z,2023-10-29T17:04:07.939000Z,3279.0,QEHJXIE,71,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
653e83c9a31cfbf34da5926c,5c66b2e27d17f800013f5ba3,RETURNED,2023-10-29T16:09:45.252000Z,,,,,,1051,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
653e84f15d02e5800a417e39,653d09272c3ffa9b9945de2d,TIMED-OUT,2023-10-29T16:14:50.573000Z,,,,13404.0,,0,30,Male,White,United States,Canada,United States,English,No,DATA_EXPIRED
653e856484bf224e2c5a9210,60772f932c4856e0daf1944b,TIMED-OUT,2023-10-29T16:17:58.524000Z,,,,13216.0,,225,42,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
653e932073ea7ffb2ffab0c0,60643e9b1b2e851ff9238862,RETURNED,2023-10-29T17:15:16.867000Z,,,,,,1917,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
